id,name,balls_bowled,balls_faced,fielded
200,DR Shorey,0,20,6
201,M Prasidh Krishna,1775,24,16
202,MM Ali,869,865,24
203,SP Goswami,0,307,28
204,P Chopra,0,6,1
205,JPR Scantlebury-Searles,45,6,4
206,Abhishek Sharma,374,1445,30
207,S Lamichhane,211,1,1
208,CJ Dala,19,0,0
209,KK Ahmed,1741,9,7
210,SO Hetmyer,0,1110,51
211,S Dube,156,1536,26
212,Navdeep Saini,716,38,8
213,JM Bairstow,0,1181,36
214,Rasikh Salam,444,43,4
215,CA Ingram,0,183,1
216,KMA Paul,180,26,6
217,N Pooran,0,1622,54
218,SM Curran,1308,761,24
219,CV Varun,2136,51,16
220,GC Viljoen,146,7,0
221,NS Naik,0,53,3
222,GH Vihari,43,331,8
223,P Ray Barman,24,25,0
224,MJ Santner,704,132,17
225,JP Behrendorff,379,9,2
226,SC Kuggeleijn,50,0,0
227,AS Joseph,454,32,4
228,HF Gurney,169,5,0
229,S Midhun,13,0,1
230,SD Lad,0,13,0
231,R Parag,334,1333,51
232,JL Denly,0,1,0
233,LS Livingstone,321,725,25
234,Milind Kumar,0,0,1
235,Arshdeep Singh,2145,49,17
236,AJ Turner,0,31,0
237,DW Steyn,2282,163,26
238,SE Rutherford,46,393,7
239,Harpreet Brar,875,217,15
240,Y Prithvi Raj,33,1,0
241,O Thomas,63,0,1
242,AS Roy,331,53,17
243,S Sandeep Warrier,176,0,1
244,P Simran Singh,0,1181,14
245,Anmolpreet Singh,0,117,2
246,JL Pattinson,222,13,2
247,SS Cottrell,131,2,0
248,Ravi Bishnoi,1857,71,30
249,A Nortje,1169,52,10
250,T Banton,0,22,0
251,I Udana,182,11,3
252,D Padikkal,0,1742,43
253,JO Holder,1212,264,20
254,PK Garg,0,247,11
255,YBK Jaiswal,1,1702,35
256,RD Gaikwad,0,2147,46
257,TU Deshpande,1176,38,10
258,KL Nagarkoti,185,34,9
259,Abdul Samad,58,575,33
260,JR Philippe,0,80,0
261,Kartik Tyagi,726,25,6
262,JDS Neesham,222,93,2
263,DR Sams,389,48,11
264,Shahbaz Ahmed,675,516,22
265,AT Carey,0,29,2
266,N Jagadeesan,0,155,1
267,JR Hazlewood,1137,31,5
268,CJ Green,17,0,1
269,MR Marsh,593,1291,16
270,P Dubey,79,33,3
271,Lalit Yadav,294,301,19
272,Monu Kumar,16,0,0
273,KA Jamieson,315,74,2
274,M Jansen,1056,186,25
275,RM Patidar,0,948,17
276,C Sakariya,479,31,6
277,M Shahrukh Khan,18,551,29
278,JA Richardson,94,27,1
279,RP Meredith,415,3,2
280,Virat Singh,0,26,2
281,LI Meriwala,19,0,0
282,RV Patel,20,76,3
283,Jalaj S Saxena,18,0,0
284,FA Allen,91,19,2
285,KW Richardson,345,39,6
286,Anuj Rawat,0,276,20
287,DJ Malan,0,26,1
288,KS Bharat,0,168,6
289,PWH de Silva,808,95,6
