id,name,balls_bowled,balls_faced,role
540,MF Maharoof,441,124,bowler
21,Bipul Sharma,436,124,bowler
161,J Suchith,434,62,bowler
149,Anureet Singh,430,47,bowler
311,PVD Chameera,420,49,bowler
129,Mohammad Nabi,419,157,bowler
279,RP Meredith,415,3,bowler
376,Naveen-ul-Haq,407,26,bowler
132,J Yadav,398,38,bowler
14,DJ Hooda,391,1213,allrounder
298,NT Ellis,390,26,bowler
772,BW Hilfenhaus,390,0,bowler
263,DR Sams,389,48,bowler
225,JP Behrendorff,379,9,bowler
386,Akash Madhwal,376,14,bowler
359,Arshad Khan,375,100,bowler
116,Ankit Sharma,375,69,bowler
206,Abhishek Sharma,374,1445,allrounder
681,R McLaren,372,178,bowler
578,VRV Singh,371,3,bowler
526,JR Hopes,369,314,allrounder
707,AN Ahmed,362,27,bowler
571,VY Mahesh,359,28,bowler
314,R Shepherd,355,161,bowler
404,Azmatullah Omarzai,350,105,bowler
29,RG Sharma,349,5642,allrounder
285,KW Richardson,345,39,bowler
231,R Parag,334,1333,allrounder
242,AS Roy,331,53,bowler
392,Nithish Kumar Reddy,330,530,allrounder
536,GD McGrath,329,5,bowler
722,AC Thomas,327,19,bowler
520,LR Shukla,326,358,allrounder
511,DJ Hussey,323,1101,allrounder
233,LS Livingstone,321,725,allrounder
105,CJ Anderson,315,436,allrounder
273,KA Jamieson,315,74,bowler
660,A Mithun,312,26,bowler
568,Pankaj Singh,311,12,bowler
401,N Burger,310,5,bowler
613,AD Mascarenhas,310,79,bowler
378,D Wiese,307,105,bowler
692,SJ Srivastava,306,5,bowler
726,BA Bhatt,303,7,bowler
306,Akash Deep,302,14,bowler
549,ST Jayasuriya,301,573,allrounder
439,V Nigam,301,92,bowler
271,Lalit Yadav,294,301,allrounder
406,G Coetzee,292,33,bowler
335,K Kartikeya,290,18,bowler
563,WPUJC Vaas,288,73,bowler
15,BCJ Cutting,288,146,bowler
506,SC Ganguly,280,1326,allrounder
553,SM Pollock,280,116,bowler
781,R Rampaul,278,52,bowler
614,TM Dilshan,275,1047,allrounder
533,Joginder Sharma,272,30,bowler
763,A Ashish Reddy,270,196,bowler
682,AG Murtaza,269,14,bowler
454,XC Bartlett,269,29,bowler
338,Fazalhaq Farooqi,266,15,bowler
85,CR Brathwaite,266,120,bowler
579,Sohail Tanvir,265,31,bowler
112,V Kohli,264,7048,allrounder
113,S Badree,263,25,bowler
93,V Shankar,258,985,allrounder
292,Akash Singh,256,0,bowler
336,Simarjeet Singh,256,15,bowler
746,AA Chavan,255,11,bowler
325,KR Sen,255,3,bowler
182,TK Curran,252,108,bowler
588,CRD Fernando,249,3,bowler
625,BAW Mendis,248,6,bowler
787,DJG Sammy,244,251,allrounder
529,JDP Oram,244,110,bowler
628,JD Ryder,241,466,allrounder
552,AM Nayar,239,588,allrounder
124,AF Milne,238,33,bowler
594,BJ Hodge,238,1153,allrounder
347,J Little,236,0,bowler
697,J Theron,235,13,bowler
766,A Chandila,234,7,bowler
110,C de Grandhomme,230,229,allrounder
294,AK Markram,230,1264,allrounder
411,MP Yadav,230,6,bowler
478,Brijesh Sharma,227,4,bowler
490,Sakib Hussain,226,0,bowler
120,KC Cariappa,224,21,bowler
30,N Rana,223,2314,allrounder
