id,name,balls_bowled,balls_faced,fielded,role
159,SS Tiwary,0,1291,29,batter
160,R Vinay Kumar,2186,289,39,allrounder
161,J Suchith,434,62,19,bowler
162,Avesh Khan,1840,46,13,bowler
163,HV Patel,2630,250,31,allrounder
164,IR Jaggi,0,100,2,unknown
165,E Lewis,0,499,9,batter
166,MA Wood,127,10,3,bowler
167,DJ Bravo,3296,1247,81,allrounder
168,M Markande,768,44,8,bowler
169,C Munro,12,144,4,batter
170,R Ashwin,4868,728,47,allrounder
171,Mujeeb Ur Rahman,465,15,2,bowler
172,KL Rahul,0,4270,99,batter
173,Q de Kock,0,2618,96,batter
174,AD Russell,1885,1626,38,allrounder
175,SN Khan,2,556,18,batter
176,RK Singh,0,999,53,batter
177,K Khejroliya,148,0,1,bowler
178,DJM Short,18,102,2,batter
179,K Gowtham,599,159,21,bowler
180,S Gopal,1000,173,5,bowler
181,B Laughlin,179,13,1,bowler
182,TK Curran,252,108,2,bowler
183,Shivam Mavi,687,58,17,bowler
184,A Dananjaya,25,5,0,unknown
185,Shubman Gill,0,3226,55,batter
186,M Vijay,37,2208,49,batter
187,JP Duminy,701,1680,33,allrounder
188,H Klaasen,0,1282,47,batter
189,RK Bhui,0,27,0,unknown
190,JC Archer,1584,208,14,allrounder
191,LE Plunkett,154,3,2,bowler
192,PP Shaw,0,1321,18,batter
193,AD Hales,0,119,2,batter
194,IS Sodhi,182,18,0,bowler
195,MK Lomror,94,389,12,batter
196,M Ashwin,898,50,7,bowler
197,L Ngidi,623,9,1,bowler
198,KM Asif,143,2,1,bowler
199,DJ Willey,221,64,4,bowler
200,DR Shorey,0,20,6,unknown
201,M Prasidh Krishna,1775,24,16,bowler
202,MM Ali,869,865,24,allrounder
203,SP Goswami,0,307,28,batter
204,P Chopra,0,6,1,unknown
205,JPR Scantlebury-Searles,45,6,4,unknown
206,Abhishek Sharma,374,1445,30,allrounder
207,S Lamichhane,211,1,1,bowler
208,CJ Dala,19,0,0,unknown
209,KK Ahmed,1741,9,7,bowler
210,SO Hetmyer,0,1110,51,batter
211,S Dube,156,1536,26,bowler
212,Navdeep Saini,716,38,8,bowler
213,JM Bairstow,0,1181,36,batter
214,Rasikh Salam,444,43,4,bowler
215,CA Ingram,0,183,1,batter
216,KMA Paul,180,26,6,bowler
217,N Pooran,0,1622,54,batter
218,SM Curran,1308,761,24,allrounder
219,CV Varun,2136,51,16,bowler
220,GC Viljoen,146,7,0,bowler
221,NS Naik,0,53,3,unknown
222,GH Vihari,43,331,8,batter
223,P Ray Barman,24,25,0,unknown
224,MJ Santner,704,132,17,bowler
225,JP Behrendorff,379,9,2,bowler
226,SC Kuggeleijn,50,0,0,unknown
227,AS Joseph,454,32,4,bowler
228,HF Gurney,169,5,0,bowler
229,S Midhun,13,0,1,unknown
230,SD Lad,0,13,0,unknown
231,R Parag,334,1333,51,allrounder
232,JL Denly,0,1,0,unknown
233,LS Livingstone,321,725,25,allrounder
234,Milind Kumar,0,0,1,unknown
235,Arshdeep Singh,2145,49,17,bowler
236,AJ Turner,0,31,0,unknown
237,DW Steyn,2282,163,26,bowler
238,SE Rutherford,46,393,7,batter
239,Harpreet Brar,875,217,15,allrounder
240,Y Prithvi Raj,33,1,0,unknown
241,O Thomas,63,0,1,unknown
242,AS Roy,331,53,17,bowler
243,S Sandeep Warrier,176,0,1,bowler
244,P Simran Singh,0,1181,14,batter
245,Anmolpreet Singh,0,117,2,batter
246,JL Pattinson,222,13,2,bowler
247,SS Cottrell,131,2,0,bowler
248,Ravi Bishnoi,1857,71,30,bowler
249,A Nortje,1169,52,10,bowler
250,T Banton,0,22,0,unknown
251,I Udana,182,11,3,bowler
252,D Padikkal,0,1742,43,batter
253,JO Holder,1212,264,20,allrounder
254,PK Garg,0,247,11,batter
255,YBK Jaiswal,1,1702,35,batter
256,RD Gaikwad,0,2147,46,batter
257,TU Deshpande,1176,38,10,bowler
258,KL Nagarkoti,185,34,9,bowler
259,Abdul Samad,58,575,33,batter
260,JR Philippe,0,80,0,unknown
261,Kartik Tyagi,726,25,6,bowler
262,JDS Neesham,222,93,2,bowler
263,DR Sams,389,48,11,bowler
264,Shahbaz Ahmed,675,516,22,allrounder
265,AT Carey,0,29,2,unknown
266,N Jagadeesan,0,155,1,batter
267,JR Hazlewood,1137,31,5,bowler
268,CJ Green,17,0,1,unknown
269,MR Marsh,593,1291,16,allrounder
270,P Dubey,79,33,3,unknown
271,Lalit Yadav,294,301,19,allrounder
272,Monu Kumar,16,0,0,unknown
273,KA Jamieson,315,74,2,bowler
274,M Jansen,1056,186,25,bowler
275,RM Patidar,0,948,17,batter
