id,name,balls_bowled,balls_faced,fielded,role
704,SB Wagh,108,3,2,bowler
705,DE Bollinger,600,23,6,bowler
706,AP Dole,73,23,2,unknown
707,AN Ahmed,362,27,3,bowler
708,L Ablish,45,2,0,unknown
709,RS Sodhi,0,2,2,unknown
710,B Sumanth,0,38,4,unknown
711,S Sriram,18,38,0,unknown
712,C Madan,0,21,0,unknown
713,AG Paunikar,0,61,2,unknown
714,ND Doshi,57,13,0,unknown
715,S Randiv,180,4,3,bowler
716,AL Menaria,113,367,4,bowler
717,AUK Pathan,41,26,3,unknown
718,RV Gomez,97,53,4,unknown
719,UBT Chand,0,314,9,batter
720,JEC Franklin,155,309,6,bowler
721,DJ Jacobs,0,101,5,batter
722,AC Thomas,327,19,4,bowler
723,Sunny Singh,0,31,1,unknown
724,NJ Rimmington,18,1,0,unknown
725,RN ten Doeschate,83,238,9,batter
726,BA Bhatt,303,7,0,bowler
727,JJ van der Wath,76,17,0,unknown
728,R Ninan,36,6,1,unknown
729,TD Paine,0,29,0,unknown
730,DH Yagnik,0,142,19,batter
731,BJ Haddin,0,11,0,unknown
732,J Syed Mohammad,196,27,1,bowler
733,NL McCullum,30,23,1,unknown
734,JE Taylor,122,4,0,bowler
735,KMDN Kulasekara,107,3,3,bowler
736,TR Birt,0,59,0,unknown
737,M Klinger,0,78,0,unknown
738,P Parameswaran,159,3,0,bowler
739,AC Blizzard,0,91,4,unknown
740,I Malhotra,6,4,0,unknown
741,CJ Ferguson,0,119,2,batter
742,AA Kazi,13,0,0,unknown
743,Anand Rajan,162,0,4,bowler
744,P Prasanth,6,0,0,unknown
745,Y Gnaneswara Rao,6,18,2,unknown
746,AA Chavan,255,11,3,bowler
747,S Rana,16,82,3,unknown
748,KH Devdhar,0,0,1,unknown
749,SS Mundhe,7,0,0,unknown
750,RW Price,18,0,0,unknown
751,RE Levi,0,74,2,unknown
752,M de Lange,116,2,0,bowler
753,KK Cooper,600,70,14,bowler
754,DAJ Bracewell,25,9,2,unknown
755,DJ Harris,18,103,5,batter
756,TP Sudhindra,74,0,0,unknown
757,GB Hogg,466,22,5,bowler
758,RR Bhatkal,12,2,1,unknown
759,P Awana,774,14,5,bowler
760,V Pratap Singh,211,1,0,bowler
761,CJ McKay,42,15,0,unknown
762,T Mishra,0,0,1,unknown
763,A Ashish Reddy,270,196,10,bowler
764,N Saini,0,143,14,batter
765,Azhar Mahmood,552,311,7,allrounder
766,A Chandila,234,7,2,bowler
767,LJ Wright,75,63,4,unknown
768,RJ Peterson,48,32,1,unknown
769,R Shukla,130,23,6,bowler
770,BB Samantray,0,116,4,batter
771,MJ Clarke,66,96,1,unknown
772,BW Hilfenhaus,390,0,1,bowler
773,AP Majumdar,0,77,0,unknown
774,PA Reddy,0,167,3,batter
775,K Upadhyay,56,9,1,unknown
776,Sunny Gupta,19,1,0,unknown
777,MC Juneja,0,134,0,batter
778,MDKJ Perera,0,13,0,unknown
779,BMAJ Mendis,30,27,3,unknown
780,Harmeet Singh,25,0,0,unknown
781,R Rampaul,278,52,4,bowler
782,SMSM Senanayake,195,17,2,bowler
783,BJ Rohrer,7,146,5,batter
784,IC Pandey,469,2,6,bowler
785,CM Gautam,0,158,7,batter
786,X Thalaivan Sargunam,0,17,0,unknown
787,DJG Sammy,244,251,9,allrounder
788,P Suyal,107,0,1,bowler
789,UA Birla,0,15,1,unknown
790,PV Tambe,674,39,1,bowler
791,Parvez Rasool,200,20,3,bowler
792,MG Neser,25,0,0,unknown
793,NJ Maddinson,0,21,1,unknown
794,AV Wankhade,0,0,1,unknown
795,BR Dunk,0,36,4,unknown
796,Shivam Sharma,114,3,1,bowler
797,VH Zol,0,26,0,unknown
798,K Santokie,51,0,1,unknown
799,BE Hendricks,157,3,3,bowler
800,JW Hastings,61,0,0,unknown
801,Karanveer Singh,213,17,2,bowler
802,DJ Muthuswami,84,3,0,unknown
803,RG More,37,2,1,unknown
804,B Aparajith,0,0,1,unknown
805,GS Sandhu,48,0,0,unknown
806,P Sahu,107,13,0,bowler
807,KJ Abbott,102,8,0,bowler
808,PSP Handscomb,0,12,0,unknown
809,SM Boland,43,0,0,unknown
810,UT Khawaja,0,105,1,batter
811,F Behardien,0,13,1,unknown
812,ER Dwivedi,0,15,2,unknown
